Name,Type,Constellation,Magnitude,RAHour,RAMinute,DecSign,DecDeg,DecMinute
UGC 57,Galaxy,Peg,13,0,7.3,+,27,43
UGC 59,Galaxy,Peg,15,0,7.3,+,27,41
UGC 58,Galaxy,Psc,14,0,7.3,+,8,17
UGC 62,Galaxy,And,14,0,7.8,+,35,21
UGC 78,Galaxy,Peg,15,0,8.9,+,23,49
UGC 73,Galaxy,And,14,0,8.7,+,37,26
UGC 74,Galaxy,Psc,15,0,8.7,+,4,37
UGC 77,Galaxy,And,14,0,8.8,+,33,26
UGC 75,Galaxy,Peg,12,0,8.8,+,15,49
UGC 82,Galaxy,Peg,15,0,9.1,+,21,36
UGC 80,Galaxy,Peg,12,0,9.1,+,27,44
NGC 6,Galaxy,And,15,0,9.5,+,33,19
NGC 29,Galaxy,And,14,0,10.7,+,32,59
UGC 80,Galaxy,Peg,15,0,9.8,+,27,50
UGC 89,Galaxy,Peg,12,0,9.9,+,25,55
ESO 472-16,Galaxy,Scl,11.5,0,9.9,-,24,58
UGC 94,Galaxy,Peg,14,0,10.4,+,25,50
UGC 96,Galaxy,And,14,0,10.5,+,29,0
NGC 21,Galaxy,And,14,0,10.8,+,33,21
NGC 17,Galaxy,Cet,13,0,11.1,-,12,6
MCG 2-1-33,Galaxy,Cet,14,0,11.2,-,12,0
UGC 106,Galaxy,Psc,15,0,11.4,+,6,23
MCG 1-1-47,Galaxy,Psc,13,0,11.9,-,5,36
UGC 114,Galaxy,And,14,0,12.3,+,31,3
PK 120+9.1,Planetary Nebula,Cep,11,0,13,+,72,32
MCG 4-1-39,Galaxy,Peg,14,0,12.8,+,22,2
UGC 118,Galaxy,Peg,15,0,12.9,+,22,6
UGC 120,Galaxy,And,14,0,13,+,30,54
A 4,Galaxy,Cet,10.4,0,14.1,-,23,11
NGC 58,Galaxy,Cet,13,0,14.5,-,7,11
UGC 133,Galaxy,And,15,0,14,+,48,14
UGC 136,Galaxy,And,15,0,14.3,+,48,14
UGC 138,Galaxy,And,15,0,14.6,+,48,15
UGC 140,Galaxy,Peg,14,0,14.6,+,18,33
MCG 1-1-60,Galaxy,Cet,14,0,15.1,-,7,8
Dunlop 507,Galaxy,Scl,8,0,14.9,-,39,11
UGC 145,Galaxy,Psc,13,0,15.4,+,17,18
ESO 539-4,Galaxy,Cet,13,0,15.5,-,21,27
UGC 150,Galaxy,Psc,15,0,16,-,0,18
MCG 2-1-43,Galaxy,Cet,14,0,17.1,-,13,28
UGC 167,Galaxy,Psc,13,0,17.7,+,11,27
MCG 1-1-68,Galaxy,Cet,14,0,17.5,-,6,51
ESO 473-10A,Galaxy,Cet,15,0,19.1,-,22,54
ESO 473-10,Galaxy,Cet,14,0,19.2,-,22,57
UGC 170,Galaxy,And,13,0,18.3,+,30,4
MCG 5-1-66,Galaxy,And,14.8,0,18.3,+,30,2
UGC 174;IC 1539,Galaxy,And,15,0,18.4,+,30,5
UGC 173;V V 166,Galaxy,And,13,0,18.4,+,30,4
UGC 176;V V 166,Galaxy,And,13.4,0,18.5,+,30,2
MCG 3-1-26,Galaxy,Cet,13,0,18.8,-,15,21
