I5370,Gx,0,0.1,32,45,And,15
I5371,,0,0.2,32,49,And,
7801,-,0,0.4,50,42,Cas,
I5372,Gx,0,0.4,32,47,And,15
I5373,Gx,0,0.4,32,47,And,15
7802,Gx,0,1.1,6,13,Psc,14
I5374,,0,1.1,4,30,Psc,
I5375,Gx,0,1.1,4,31,Psc,14
7804,,0,1.3,7,45,Psc,
7803,Gx,0,1.4,13,6,Peg,14
7805,Gx,0,1.4,31,26,Peg,14
I5376,Gx,0,1.4,34,32,And,15
7806,Gx,0,1.5,31,27,Peg,14
I1526,Gx,0,1.6,11,21,Peg,15
I5377,Gx,0,2.1,16,36,Peg,16
7809,Gx,0,2.2,2,56,Psc,15
7810,Gx,0,2.4,12,57,Peg,14
I1527,,0,2.4,4,7,Psc,
7811,Gx,0,2.5,3,20,Psc,15
I5378,,0,2.6,16,37,Peg,
I5379,,0,2.7,16,35,Peg,
I5380,,0,2.7,-66,11,Tuc,
7812,Gx,0,2.9,-34,15,Scl,
7813,Gx,0,3.2,-11,59,Cet,15
I5381,Gx,0,3.2,15,58,Peg,
7814,Gx,0,3.3,16,9,Peg,10
7815,-,0,3.4,20,41,Peg,
I5382,,0,3.4,-65,11,Tuc,
7808,Gx,0,3.5,-10,45,Cet,14
7822,Nb,0,3.6,68,37,Cep,
7816,Gx,0,3.8,7,28,Psc,14
I5383,,0,3.8,16,0,Peg,
7817,Gx,0,4,20,45,Peg,12
7818,Gx,0,4.2,7,21,Psc,15
I5384,Gx,0,4.2,-11,58,Cet,15
7819,Gx,0,4.4,31,29,Peg,14
7820,Gx,0,4.6,5,11,Psc,14
7823,Gx,0,4.8,-62,4,Tuc,
I1528,,0,5.1,-3,7,Psc,
7824,Gx,0,5.2,6,54,Psc,14
7825,Gx,0,5.2,5,12,Psc,15
7826,-,0,5.2,-20,44,Cet,
I1529,,0,5.2,-11,30,Cet,
7821,Gx,0,5.3,-16,29,Cet,14
7827,Gx,0,5.5,5,13,Psc,14
7830,*,0,6.2,8,22,Psc,
7828,Gx,0,6.4,-13,24,Cet,
7829,Gx,0,6.4,-13,24,Cet,
I5385,,0,6.4,0,4,Psc,
7833,-,0,6.5,27,38,Peg,
I5386,,0,6.5,-3,43,Psc,
7832,Gx,0,6.6,-3,42,Psc,13
7834,Gx,0,6.7,8,21,Psc,15
7835,Gx,0,6.8,8,25,Psc,15
7837,Gx,0,6.9,8,20,Psc,16
7838,Gx,0,7,8,20,Psc,15
7839,D*,0,7,27,38,Peg,
7840,Gx,0,7.1,8,33,Psc,
1,Gx,0,7.3,27,43,Peg,13
2,Gx,0,7.3,27,41,Peg,15
3,Gx,0,7.3,8,17,Psc,14
7831,Gx,0,7.3,32,35,And,14
I1530,Gx,0,7.3,32,37,And,
4,Gx,0,7.4,8,22,Psc,
5,Gx,0,7.8,35,21,And,14
7836,Gx,0,8,33,4,And,
6,-,0,8.3,32,30,And,
7,Gx,0,8.4,-29,55,Scl,
I   1,D*,0,8.4,27,43,Peg,
10,Gx,0,8.6,-33,52,Scl,
11,Gx,0,8.7,37,26,And,14
12,Gx,0,8.7,4,37,Psc,15
8,D*,0,8.8,23,50,Peg,
13,Gx,0,8.8,33,26,And,14
14,Gx,0,8.8,15,49,Peg,12
9,Gx,0,8.9,23,49,Peg,15
15,Gx,0,9.1,21,36,Peg,15
16,Gx,0,9.1,27,44,Peg,12
18,D*,0,9.4,27,43,Peg,
19,-,0,9.4,32,50,And,
20,Gx,0,9.5,33,19,And,15
I1531,Gx,0,9.6,-32,17,Scl,
22,Gx,0,9.8,27,50,Peg,15
23,Gx,0,9.9,25,55,Peg,12
24,Gx,0,9.9,-24,58,Scl,11
25,Gx,0,9.9,-57,3,Phe,
I1532,Gx,0,9.9,-64,22,Tuc,
28,Gx,0,10.3,-57,1,Phe,
26,Gx,0,10.4,25,50,Peg,14
27,Gx,0,10.5,29,0,And,14
31,Gx,0,10.5,-57,0,Phe,
I1533,,0,10.6,-7,25,Cet,
21,Gx,0,10.7,32,59,And,14
29,Gx,0,10.8,33,21,And,14
30,D*,0,10.8,21,57,Peg,
32,Ast,0,10.9,18,47,Peg,
33,D*,0,10.9,3,40,Psc,
17,,0,11,-12,6,Cet,
I   2,Gx,0,11,-12,49,Cet,
34,Gx,0,11.1,-12,6,Cet,13
35,Gx,0,11.2,-12,0,Cet,14
37,Gx,0,11.3,-56,58,Phe,
36,Gx,0,11.4,6,23,Psc,15
38,Gx,0,11.9,-5,36,Psc,13
I   3,Gx,0,12.1,0,25,Psc,
39,Gx,0,12.3,31,3,And,14
41,Gx,0,12.8,22,2,Peg,14
